Provinsi,Jenjang Pendidikan,Tahun,Tingkat Penyelesaian
PAPUA BARAT DAYA, SMP,2018, -
PAPUA BARAT DAYA, SMP,2019, -
PAPUA BARAT DAYA, SMP,2020, -
PAPUA BARAT DAYA, SMA,2018, -
PAPUA BARAT DAYA, SMA,2019, -
PAPUA BARAT DAYA, SMA,2020, -
Provinsi, Jenjang Pendidikan, Tahun, Tingkat Penyelesaian
RIAU,SD,2021,96.91
RIAU,SD,2022,98.2
RIAU,SD,2023,98.09
RIAU,SMP,2021,87.11
RIAU,SMP,2022,88.53
RIAU,SMP,2023,90.52
RIAU,SMA,2021,68.94
RIAU,SMA,2022,66.91
RIAU,SMA,2023,67.79
RIAU, SD,2015,90.44
RIAU, SD,2016,93.23
RIAU, SD,2017,94.76
RIAU, SMP,2015,76.54
RIAU, SMP,2016,81.3
RIAU, SMP,2017,85.37
RIAU, SMA,2015,57.28
RIAU, SMA,2016,62.12
RIAU, SMA,2017,61.9
RIAU, SD,2018,95.39
RIAU, SD,2019,95.11
RIAU, SD,2020,95.18
RIAU, SMP,2018,83.45
RIAU, SMP,2019,84.97
RIAU, SMP,2020,86.84
RIAU, SMA,2018,63.71
RIAU, SMA,2019,58.78
RIAU, SMA,2020,66.62
SULAWESI BARAT, SD,2018,95.93
SULAWESI BARAT, SD,2019,97.15
SULAWESI BARAT, SD,2020,95.13
SULAWESI BARAT, SMP,2018,86.09
SULAWESI BARAT, SMP,2019,84.14
SULAWESI BARAT, SMP,2020,84.04
SULAWESI BARAT, SMA,2018,56.22
SULAWESI BARAT, SMA,2019,55.18
SULAWESI BARAT, SMA,2020,54.79
SULAWESI BARAT, SD,2015,94.21
SULAWESI BARAT, SD,2016,94.23
SULAWESI BARAT, SD,2017,96.65
SULAWESI BARAT, SMP,2015,73.1
SULAWESI BARAT, SMP,2016,80.1
SULAWESI BARAT, SMP,2017,79.95
SULAWESI BARAT, SMA,2015,52.8
SULAWESI BARAT, SMA,2016,61.18
SULAWESI BARAT, SMA,2017,55.97
SULAWESI BARAT, SD,2018,92.94
SULAWESI BARAT, SD,2019,94.03
SULAWESI BARAT, SD,2020,94.56
SULAWESI BARAT, SMP,2018,82.51
SULAWESI BARAT, SMP,2019,83.29
SULAWESI BARAT, SMP,2020,85.87
SULAWESI BARAT, SMA,2018,59.65
SULAWESI BARAT, SMA,2019,60.68
SULAWESI BARAT, SMA,2020,62.23
SULAWESI SELATAN, SD,2018,97.3
SULAWESI SELATAN, SD,2019,98.05
SULAWESI SELATAN, SD,2020,98.37
SULAWESI SELATAN, SMP,2018,88.18
SULAWESI SELATAN, SMP,2019,90.55
SULAWESI SELATAN, SMP,2020,88.74
SULAWESI SELATAN, SMA,2018,69.43
SULAWESI SELATAN, SMA,2019,68.32
SULAWESI SELATAN, SMA,2020,67.41
SULAWESI SELATAN, SD,2015,92.92
SULAWESI SELATAN, SD,2016,93.43
SULAWESI SELATAN, SD,2017,94.49
SULAWESI SELATAN, SMP,2015,75.84
SULAWESI SELATAN, SMP,2016,81.25
SULAWESI SELATAN, SMP,2017,81.13
SULAWESI SELATAN, SMA,2015,49.42
SULAWESI SELATAN, SMA,2016,60.1
SULAWESI SELATAN, SMA,2017,60.44
SULAWESI SELATAN, SD,2018,95.82
SULAWESI SELATAN, SD,2019,95.79
SULAWESI SELATAN, SD,2020,96.15
SULAWESI SELATAN, SMP,2018,86.65
SULAWESI SELATAN, SMP,2019,87.1
SULAWESI SELATAN, SMP,2020,88.25
SULAWESI SELATAN, SMA,2018,66.72
SULAWESI SELATAN, SMA,2019,66.91
SULAWESI SELATAN, SMA,2020,68.39
SULAWESI TENGAH,SD,2021,96.19
SULAWESI TENGAH,SD,2022,97.19
SULAWESI TENGAH,SD,2023,97.56
SULAWESI TENGAH,SMP,2021,85.42
SULAWESI TENGAH,SMP,2022,88.9
SULAWESI TENGAH,SMP,2023,90.05
SULAWESI TENGAH,SMA,2021,61.16
SULAWESI TENGAH,SMA,2022,53.73
SULAWESI TENGAH,SMA,2023,55.69
SULAWESI TENGAH, SD,2015,85.82
SULAWESI TENGAH, SD,2016,87.58
SULAWESI TENGAH, SD,2017,90.08
SULAWESI TENGAH, SMP,2015,69.58
SULAWESI TENGAH, SMP,2016,74.96
SULAWESI TENGAH, SMP,2017,75.52
SULAWESI TENGAH, SMA,2015,48.36
SULAWESI TENGAH, SMA,2016,58.41
SULAWESI TENGAH, SMA,2017,53.27
SULAWESI TENGAH, SD,2018,95.61
SULAWESI TENGAH, SD,2019,94.75
SULAWESI TENGAH, SD,2020,94.83
SULAWESI TENGAH, SMP,2018,84.32
SULAWESI TENGAH, SMP,2019,84.79
SULAWESI TENGAH, SMP,2020,87.27
SULAWESI TENGAH, SMA,2018,68.78
SULAWESI TENGAH, SMA,2019,68.12
SULAWESI TENGAH, SMA,2020,69.56
SULAWESI TENGGARA, SD,2018,95.58
SULAWESI TENGGARA, SD,2019,97.24
SULAWESI TENGGARA, SD,2020,97.83
SULAWESI TENGGARA, SMP,2018,90.88
SULAWESI TENGGARA, SMP,2019,91.19
SULAWESI TENGGARA, SMP,2020,89.55
SULAWESI TENGGARA, SMA,2018,70.65
SULAWESI TENGGARA, SMA,2019,65.97
SULAWESI TENGGARA, SMA,2020,68.28
SULAWESI TENGGARA, SD,2015,94.04
SULAWESI TENGGARA, SD,2016,95.38
SULAWESI TENGGARA, SD,2017,95.16
SULAWESI TENGGARA, SMP,2015,77.45
SULAWESI TENGGARA, SMP,2016,80.77
SULAWESI TENGGARA, SMP,2017,80.83
SULAWESI TENGGARA, SMA,2015,53.72
SULAWESI TENGGARA, SMA,2016,56.51
SULAWESI TENGGARA, SMA,2017,58.45
SULAWESI TENGGARA, SD,2018,91.64
SULAWESI TENGGARA, SD,2019,92.29
SULAWESI TENGGARA, SD,2020,92.83
SULAWESI TENGGARA, SMP,2018,85.48
SULAWESI TENGGARA, SMP,2019,86.13
SULAWESI TENGGARA, SMP,2020,88.41
SULAWESI TENGGARA, SMA,2018,57.94
SULAWESI TENGGARA, SMA,2019,59.13
SULAWESI TENGGARA, SMA,2020,60.21
SULAWESI UTARA,SD,2021,96.1
SULAWESI UTARA,SD,2022,96.74
SULAWESI UTARA,SD,2023,96.18
SULAWESI UTARA,SMP,2021,91.05
SULAWESI UTARA,SMP,2022,91.98
SULAWESI UTARA,SMP,2023,92.07
SULAWESI UTARA,SMA,2021,68.56
SULAWESI UTARA,SMA,2022,66.66
SULAWESI UTARA,SMA,2023,67.57
SULAWESI UTARA, SD,2015,94.59
SULAWESI UTARA, SD,2016,97.06
SULAWESI UTARA, SD,2017,96.89
SULAWESI UTARA, SMP,2015,78.98
SULAWESI UTARA, SMP,2016,80.69
SULAWESI UTARA, SMP,2017,85
SULAWESI UTARA, SMA,2015,50.42
SULAWESI UTARA, SMA,2016,56.11
SULAWESI UTARA, SMA,2017,53.38
SULAWESI UTARA, SD,2018,94.53
SULAWESI UTARA, SD,2019,95.44
SULAWESI UTARA, SD,2020,94.47
SULAWESI UTARA, SMP,2018,88.73
SULAWESI UTARA, SMP,2019,89.04
SULAWESI UTARA, SMP,2020,91.43
SULAWESI UTARA, SMA,2018,73.15
SULAWESI UTARA, SMA,2019,71.84
SULAWESI UTARA, SMA,2020,74.26
SUMATERA BARAT,SD,2021,95.29
SUMATERA BARAT,SD,2022,97.87
SUMATERA BARAT,SD,2023,95.81
SUMATERA BARAT,SMP,2021,89.49
SUMATERA BARAT,SMP,2022,88.83
SUMATERA BARAT,SMP,2023,90.65
SUMATERA BARAT,SMA,2021,70.06
SUMATERA BARAT,SMA,2022,65.96
SUMATERA BARAT,SMA,2023,68.64
SUMATERA BARAT, SD,2015,87.85
SUMATERA BARAT, SD,2016,90.69
SUMATERA BARAT, SD,2017,92.67
SUMATERA BARAT, SMP,2015,78.77
SUMATERA BARAT, SMP,2016,82.5
SUMATERA BARAT, SMP,2017,81.11
SUMATERA BARAT, SMA,2015,58.04
SUMATERA BARAT, SMA,2016,64.97
SUMATERA BARAT, SMA,2017,60.8
SUMATERA BARAT, SD,2018,90.54
SUMATERA BARAT, SD,2019,91.25
SUMATERA BARAT, SD,2020,93.26
SUMATERA BARAT, SMP,2018,82.59
SUMATERA BARAT, SMP,2019,84.07
SUMATERA BARAT, SMP,2020,87.12
SUMATERA BARAT, SMA,2018,65.34
SUMATERA BARAT, SMA,2019,60.32
SUMATERA BARAT, SMA,2020,67.11
SUMATERA SELATAN,SD,2021,97.82
SUMATERA SELATAN,SD,2022,97.53
SUMATERA SELATAN,SD,2023,97.58
SUMATERA SELATAN,SMP,2021,87.68
SUMATERA SELATAN,SMP,2022,88.41
SUMATERA SELATAN,SMP,2023,87.95
SUMATERA SELATAN,SMA,2021,67.2
SUMATERA SELATAN,SMA,2022,67.07
SUMATERA SELATAN,SMA,2023,64.81
SUMATERA SELATAN, SD,2015,90.27
SUMATERA SELATAN, SD,2016,94.86
SUMATERA SELATAN, SD,2017,95.88
SUMATERA SELATAN, SMP,2015,78.35
SUMATERA SELATAN, SMP,2016,82.41
SUMATERA SELATAN, SMP,2017,82.59
SUMATERA SELATAN, SMA,2015,48.9
SUMATERA SELATAN, SMA,2016,55.37
SUMATERA SELATAN, SMA,2017,54.15
SUMATERA SELATAN, SD,2018,94.02
SUMATERA SELATAN, SD,2019,96.08
SUMATERA SELATAN, SD,2020,95.93
SUMATERA SELATAN, SMP,2018,84.18
SUMATERA SELATAN, SMP,2019,83.4
SUMATERA SELATAN, SMP,2020,85.02
SUMATERA SELATAN, SMA,2018,63.94
SUMATERA SELATAN, SMA,2019,58.23
SUMATERA SELATAN, SMA,2020,65.42
SUMATERA UTARA,SD,2021,98.57
SUMATERA UTARA,SD,2022,98.74
SUMATERA UTARA,SD,2023,98.75
SUMATERA UTARA,SMP,2021,91.35
SUMATERA UTARA,SMP,2022,92.84
SUMATERA UTARA,SMP,2023,94.35
SUMATERA UTARA,SMA,2021,72.81
SUMATERA UTARA,SMA,2022,77.16
SUMATERA UTARA,SMA,2023,74.43
SUMATERA UTARA, SD,2015,92.76
SUMATERA UTARA, SD,2016,96.61
SUMATERA UTARA, SD,2017,97.63
SUMATERA UTARA, SMP,2015,80.87
SUMATERA UTARA, SMP,2016,87.97
SUMATERA UTARA, SMP,2017,88.7
SUMATERA UTARA, SMA,2015,59.54
SUMATERA UTARA, SMA,2016,69.69
SUMATERA UTARA, SMA,2017,67.16
SUMATERA UTARA, SD,2018,95.76
SUMATERA UTARA, SD,2019,97.12
SUMATERA UTARA, SD,2020,96.48
SUMATERA UTARA, SMP,2018,87.97
SUMATERA UTARA, SMP,2019,88.26
SUMATERA UTARA, SMP,2020,91.63
SUMATERA UTARA, SMA,2018,68.34
SUMATERA UTARA, SMA,2019,65.21
SUMATERA UTARA, SMA,2020,70.39
